d_measured,depth,D,mean_branches,n_primary_dendrites,branch_angle,total_length,num_neurons
1.2797835,5.0,1.6128613,1.497133,6.0,0.47185498,193.55708,4.0
1.6116356,7.0,1.3936578,1.845313,4.0,0.7440164,863.33527,12.0
1.1963098,9.0,1.8655282,1.5274411,4.0,2.1460884,134.32994,12.0
1.5263306,7.0,1.1182834,1.3837626,6.0,0.88512915,501.9569,29.0
1.3306618,4.0,1.7200576,1.1862174,5.0,0.5832601,956.3026,26.0
1.4515047,10.0,1.1916062,1.3306758,5.0,2.0790617,659.96155,26.0
1.4401844,5.0,1.5708977,1.2292193,8.0,0.5537128,340.96524,26.0
1.2114564,7.0,1.6300704,1.0997392,6.0,2.3079998,953.9959,22.0
1.4646958,3.0,1.3784707,1.9358411,6.0,1.4341502,154.39612,27.0
1.5172856,6.0,1.3617653,1.4741052,5.0,0.81342274,325.40192,11.0
1.381207,7.0,1.3137678,1.6721727,8.0,2.8358016,710.794,28.0
1.4850527,7.0,1.6822195,1.3273716,5.0,0.21712866,328.2427,17.0
1.4175638,4.0,1.8645059,1.55019,8.0,2.5892136,344.11084,6.0
1.5300215,9.0,1.2610296,1.1721468,4.0,0.6896356,289.114,30.0
1.5646734,9.0,1.2265948,1.6437235,3.0,2.794429,743.2915,23.0
1.3630303,8.0,1.9217792,1.8361385,5.0,0.46384078,349.67047,4.0
1.5016527,10.0,1.7332128,1.4183428,4.0,0.89531934,965.4352,12.0
1.5365826,5.0,1.575342,1.8296489,4.0,0.48612604,855.41815,9.0
1.2737932,11.0,1.9680516,1.7998374,4.0,1.9393137,575.4266,26.0
1.3533976,7.0,1.5180116,1.9276261,6.0,0.40991148,694.2023,25.0
1.3799592,6.0,1.4927849,1.2976894,8.0,1.4065013,520.61285,28.0
1.5591141,8.0,1.4897232,1.7432085,6.0,1.3211958,723.8981,11.0
1.5533414,5.0,1.5472832,1.3897133,6.0,1.1752424,291.20538,22.0
1.3169287,7.0,1.9652761,1.4759666,5.0,2.4647467,658.9292,29.0
1.5541846,5.0,1.817635,1.7604806,4.0,1.2523549,686.6083,12.0
1.4405577,5.0,1.6136051,1.7651843,4.0,2.2146451,563.05524,28.0
1.3180293,9.0,1.8037682,1.028854,8.0,0.58005345,137.9569,18.0
