n_neurons,step,D0,R2_D0,D1,R2_D1,total_overlap_area,total_overlap_percentage,mean_soma_distance,std_soma_distance
2,0,"0    1.383008
Name: D0, dtype: float64","0    0.999
Name: R2_D0, dtype: float64","0    1.402427
Name: D1, dtype: float64","0    0.999211
Name: R2_D1, dtype: float64",0,0.0,2850.0,0.0
2,1,"0    1.38205
Name: D0, dtype: float64","0    0.999085
Name: R2_D0, dtype: float64","0    1.401431
Name: D1, dtype: float64","0    0.999249
Name: R2_D1, dtype: float64",0,0.0,2700.0,0.0
2,2,"0    1.380359
Name: D0, dtype: float64","0    0.99908
Name: R2_D0, dtype: float64","0    1.401329
Name: D1, dtype: float64","0    0.999261
Name: R2_D1, dtype: float64",0,0.0,2550.0,0.0
2,3,"0    1.380848
Name: D0, dtype: float64","0    0.999204
Name: R2_D0, dtype: float64","0    1.402177
Name: D1, dtype: float64","0    0.999237
Name: R2_D1, dtype: float64",0,0.0,2400.0,0.0
2,4,"0    1.383418
Name: D0, dtype: float64","0    0.999018
Name: R2_D0, dtype: float64","0    1.401784
Name: D1, dtype: float64","0    0.999232
Name: R2_D1, dtype: float64",0,0.0,2250.0,0.0
2,5,"0    1.379625
Name: D0, dtype: float64","0    0.999161
Name: R2_D0, dtype: float64","0    1.401187
Name: D1, dtype: float64","0    0.999248
Name: R2_D1, dtype: float64",0,0.0,2100.0,0.0
2,6,"0    1.380145
Name: D0, dtype: float64","0    0.999067
Name: R2_D0, dtype: float64","0    1.400882
Name: D1, dtype: float64","0    0.999261
Name: R2_D1, dtype: float64",0,0.0,1950.0,0.0
2,7,"0    1.383554
Name: D0, dtype: float64","0    0.999065
Name: R2_D0, dtype: float64","0    1.401327
Name: D1, dtype: float64","0    0.999242
Name: R2_D1, dtype: float64",0,0.0,1800.0,0.0
2,8,"0    1.37979
Name: D0, dtype: float64","0    0.999103
Name: R2_D0, dtype: float64","0    1.401451
Name: D1, dtype: float64","0    0.999254
Name: R2_D1, dtype: float64",0,0.0,1650.0,0.0
2,9,"0    1.380485
Name: D0, dtype: float64","0    0.999156
Name: R2_D0, dtype: float64","0    1.401056
Name: D1, dtype: float64","0    0.99926
Name: R2_D1, dtype: float64",0,0.0,1500.0,0.0
2,10,"0    1.385016
Name: D0, dtype: float64","0    0.998899
Name: R2_D0, dtype: float64","0    1.402975
Name: D1, dtype: float64","0    0.999216
Name: R2_D1, dtype: float64",0,0.0,1350.0,0.0
2,11,"0    1.396414
Name: D0, dtype: float64","0    0.998736
Name: R2_D0, dtype: float64","0    1.411213
Name: D1, dtype: float64","0    0.998978
Name: R2_D1, dtype: float64",0,0.0,1200.0,0.0
2,12,"0    1.42217
Name: D0, dtype: float64","0    0.998329
Name: R2_D0, dtype: float64","0    1.426122
Name: D1, dtype: float64","0    0.998685
Name: R2_D1, dtype: float64",5,0.006410996140580324,1050.0,0.0
2,13,"0    1.446357
Name: D0, dtype: float64","0    0.998576
Name: R2_D0, dtype: float64","0    1.452481
Name: D1, dtype: float64","0    0.998747
Name: R2_D1, dtype: float64",108,0.138477516636535,900.0,0.0
2,14,"0    1.462867
Name: D0, dtype: float64","0    0.998922
Name: R2_D0, dtype: float64","0    1.485039
Name: D1, dtype: float64","0    0.998926
Name: R2_D1, dtype: float64",217,0.27823723250118604,750.0,0.0
2,15,"0    1.481923
Name: D0, dtype: float64","0    0.999264
Name: R2_D0, dtype: float64","0    1.516398
Name: D1, dtype: float64","0    0.99894
Name: R2_D1, dtype: float64",820,1.051403367055173,600.0,0.0
2,16,"0    1.509521
Name: D0, dtype: float64","0    0.999229
Name: R2_D0, dtype: float64","0    1.556357
Name: D1, dtype: float64","0    0.998958
Name: R2_D1, dtype: float64",1110,1.4232411432088319,450.0,0.0
2,17,"0    1.528464
Name: D0, dtype: float64","0    0.999056
Name: R2_D0, dtype: float64","0    1.563459
Name: D1, dtype: float64","0    0.999155
Name: R2_D1, dtype: float64",1658,2.125886320216435,300.0,0.0
2,18,"0    1.551471
Name: D0, dtype: float64","0    0.998434
Name: R2_D0, dtype: float64","0    1.576954
Name: D1, dtype: float64","0    0.998306
Name: R2_D1, dtype: float64",1570,2.0130527881422213,150.0,0.0
2,19,"0    1.540869
Name: D0, dtype: float64","0    0.997857
Name: R2_D0, dtype: float64","0    1.546276
Name: D1, dtype: float64","0    0.998505
Name: R2_D1, dtype: float64",2657,3.4068033491043836,0.0,0.0
3,0,"0    1.399871
Name: D0, dtype: float64","0    0.99938
Name: R2_D0, dtype: float64","0    1.424881
Name: D1, dtype: float64","0    0.999508
Name: R2_D1, dtype: float64",0,0.0,2469.4130257423253,0.4689430427166497
3,1,"0    1.399206
Name: D0, dtype: float64","0    0.999344
Name: R2_D0, dtype: float64","0    1.424519
Name: D1, dtype: float64","0    0.999524
Name: R2_D1, dtype: float64",0,0.0,2340.7499390283187,0.9378161547053985
3,2,"0    1.39806
Name: D0, dtype: float64","0    0.999402
Name: R2_D0, dtype: float64","0    1.425981
Name: D1, dtype: float64","0    0.999497
Name: R2_D1, dtype: float64",0,0.0,2212.0869685201806,1.4066070967366018
3,3,"0    1.39691
Name: D0, dtype: float64","0    0.999368
Name: R2_D0, dtype: float64","0    1.425277
Name: D1, dtype: float64","0    0.999509
Name: R2_D1, dtype: float64",0,0.0,2083.4241358161908,1.8753005965199026
3,4,"0    1.396156
Name: D0, dtype: float64","0    0.999338
Name: R2_D0, dtype: float64","0    1.425591
Name: D1, dtype: float64","0    0.999503
Name: R2_D1, dtype: float64",0,0.0,1954.76146822049,2.343877347112591
3,5,"0    1.397155
Name: D0, dtype: float64","0    0.999342
Name: R2_D0, dtype: float64","0    1.425396
Name: D1, dtype: float64","0    0.999508
Name: R2_D1, dtype: float64",0,0.0,1826.0990007605294,2.8123125803662696
3,6,"0    1.399612
Name: D0, dtype: float64","0    0.999358
Name: R2_D0, dtype: float64","0    1.424863
Name: D1, dtype: float64","0    0.99951
Name: R2_D1, dtype: float64",0,0.0,1697.4367791256316,3.280573989050969
3,7,"0    1.401329
Name: D0, dtype: float64","0    0.999298
Name: R2_D0, dtype: float64","0    1.424747
Name: D1, dtype: float64","0    0.999522
Name: R2_D1, dtype: float64",0,0.0,1568.774864057713,3.7486186221454605
3,8,"0    1.400134
Name: D0, dtype: float64","0    0.999254
Name: R2_D0, dtype: float64","0    1.424923
Name: D1, dtype: float64","0    0.99951
Name: R2_D1, dtype: float64",0,0.0,1440.1133381065192,4.216388108165749
3,9,"0    1.407061
Name: D0, dtype: float64","0    0.999033
Name: R2_D0, dtype: float64","0    1.42685
Name: D1, dtype: float64","0    0.999478
Name: R2_D1, dtype: float64",0,0.0,1311.4523163813935,4.683801052513648
3,10,"0    1.418886
Name: D0, dtype: float64","0    0.998816
Name: R2_D0, dtype: float64","0    1.431861
Name: D1, dtype: float64","0    0.999355
Name: R2_D1, dtype: float64",0,0.0,1182.7919643597797,5.150740444967058
3,11,"0    1.43828
Name: D0, dtype: float64","0    0.998043
Name: R2_D0, dtype: float64","0    1.443879
Name: D1, dtype: float64","0    0.999085
Name: R2_D1, dtype: float64",0,0.0,1054.1325288194114,5.617031787316933
3,12,"0    1.469522
Name: D0, dtype: float64","0    0.997454
Name: R2_D0, dtype: float64","0    1.465237
Name: D1, dtype: float64","0    0.998738
Name: R2_D1, dtype: float64",8,0.006432057373951776,925.4743947567476,6.082402845956269
3,13,"0    1.49515
Name: D0, dtype: float64","0    0.997816
Name: R2_D0, dtype: float64","0    1.494058
Name: D1, dtype: float64","0    0.998666
Name: R2_D1, dtype: float64",125,0.1005008964679965,796.8181979065452,6.546404088527623
3,14,"0    1.51589
Name: D0, dtype: float64","0    0.998488
Name: R2_D0, dtype: float64","0    1.524907
Name: D1, dtype: float64","0    0.999018
Name: R2_D1, dtype: float64",603,0.48481632456161505,668.1650685465119,7.008236287999192
3,15,"0    1.541918
Name: D0, dtype: float64","0    0.998105
Name: R2_D0, dtype: float64","0    1.548486
Name: D1, dtype: float64","0    0.998965
Name: R2_D1, dtype: float64",2693,2.1651913135065164,539.5172284132465,7.466328439355893
3,16,"0    1.579006
Name: D0, dtype: float64","0    0.998551
Name: R2_D0, dtype: float64","0    1.5994
Name: D1, dtype: float64","0    0.998854
Name: R2_D1, dtype: float64",2018,1.6224864725793355,410.8797270879877,7.917109949461805
3,17,"0    1.60699
Name: D0, dtype: float64","0    0.99903
Name: R2_D0, dtype: float64","0    1.628677
Name: D1, dtype: float64","0    0.999027
Name: R2_D1, dtype: float64",3577,2.875933653328188,282.26703802356013,8.350346541677395
3,18,"0    1.633457
Name: D0, dtype: float64","0    0.999333
Name: R2_D0, dtype: float64","0    1.655811
Name: D1, dtype: float64","0    0.999286
Name: R2_D1, dtype: float64",4003,3.2184407084911193,153.7442080288048,8.72004317637661
3,19,"0    1.639344
Name: D0, dtype: float64","0    0.99912
Name: R2_D0, dtype: float64","0    1.652437
Name: D1, dtype: float64","0    0.999441
Name: R2_D1, dtype: float64",6062,4.873891475111957,27.028495974235554,7.8119144611663796
4,0,"0    1.352199
Name: D0, dtype: float64","0    0.999545
Name: R2_D0, dtype: float64","0    1.37954
Name: D1, dtype: float64","0    0.99963
Name: R2_D1, dtype: float64",0,0.0,2293.5028842544402,393.5028842544403
4,1,"0    1.352126
Name: D0, dtype: float64","0    0.999538
Name: R2_D0, dtype: float64","0    1.380066
Name: D1, dtype: float64","0    0.999621
Name: R2_D1, dtype: float64",0,0.0,2172.792206135786,372.7922061357856
4,2,"0    1.353324
Name: D0, dtype: float64","0    0.999471
Name: R2_D0, dtype: float64","0    1.380092
Name: D1, dtype: float64","0    0.999624
Name: R2_D1, dtype: float64",0,0.0,2052.0815280171305,352.0815280171308
4,3,"0    1.352202
Name: D0, dtype: float64","0    0.999477
Name: R2_D0, dtype: float64","0    1.379121
Name: D1, dtype: float64","0    0.999641
Name: R2_D1, dtype: float64",0,0.0,1931.370849898476,331.370849898476
4,4,"0    1.352399
Name: D0, dtype: float64","0    0.999429
Name: R2_D0, dtype: float64","0    1.379994
Name: D1, dtype: float64","0    0.999625
Name: R2_D1, dtype: float64",0,0.0,1810.6601717798212,310.6601717798213
4,5,"0    1.353406
Name: D0, dtype: float64","0    0.999489
Name: R2_D0, dtype: float64","0    1.38109
Name: D1, dtype: float64","0    0.999603
Name: R2_D1, dtype: float64",0,0.0,1689.9494936611663,289.9494936611665
4,6,"0    1.365764
Name: D0, dtype: float64","0    0.999187
Name: R2_D0, dtype: float64","0    1.384089
Name: D1, dtype: float64","0    0.999542
Name: R2_D1, dtype: float64",0,0.0,1569.2388155425117,269.23881554251176
4,7,"0    1.377118
Name: D0, dtype: float64","0    0.998758
Name: R2_D0, dtype: float64","0    1.389303
Name: D1, dtype: float64","0    0.999407
Name: R2_D1, dtype: float64",0,0.0,1448.5281374238573,248.52813742385703
4,8,"0    1.394977
Name: D0, dtype: float64","0    0.998428
Name: R2_D0, dtype: float64","0    1.401078
Name: D1, dtype: float64","0    0.999148
Name: R2_D1, dtype: float64",0,0.0,1327.8174593052022,227.81745930520225
4,9,"0    1.417503
Name: D0, dtype: float64","0    0.998339
Name: R2_D0, dtype: float64","0    1.419635
Name: D1, dtype: float64","0    0.998962
Name: R2_D1, dtype: float64",7,0.004525764530936833,1207.1067811865476,207.10678118654755
